sex,types,level,birthday,following,fans,view,likes,album,article,video,audio
男,0,6.0,09-19,207,881488,20722903.0,2129385.0,85,0,34,0
保密,-1,5.0,03-15,62,2568,120689.0,809.0,0,0,0,0
女,0,6.0,01-08,316,31147,959732.0,95848.0,421,0,14,0
男,0,6.0,01-01,1,76247,2517891.0,51398.0,0,0,3,0
女,-1,5.0,02-02,237,1453,32820.0,1081.0,23,1,47,0
保密,-1,6.0,07-30,246,3018,238348.0,9488.0,214,1,173,0
男,-1,6.0,02-12,109,5518,2831923.0,9909.0,1,0,85,0
男,-1,5.0,01-01,169,588,120755.0,757.0,4,0,7,0
男,-1,5.0,11-04,21,631,404365.0,755.0,4,0,10,0
男,-1,6.0,11-04,37,13400,6851795.0,170126.0,3,0,88,0
男,-1,6.0,06-12,178,1175,239784.0,4070.0,34,1,18,0
男,-1,6.0,01-18,271,993,9163.0,882.0,0,0,2,0
男,-1,4.0,06-30,8,194,8061.0,505.0,9,0,6,0
保密,-1,6.0,01-01,0,12024,5497067.0,38445.0,0,0,0,0
男,0,6.0,07-13,219,761299,55436787.0,4694219.0,689,11,645,1
女,-1,6.0,01-01,0,176398,93550542.0,49384.0,0,0,915,0
男,-1,4.0,01-01,73,260,183532.0,1846.0,0,0,2,0
保密,-1,5.0,01-01,380,248,77453.0,1603.0,1,0,4,0
男,-1,6.0,01-01,333,78542,11110194.0,77073.0,30,0,45,0
男,-1,6.0,01-01,38,3840,1105303.0,21265.0,237,1,190,0
男,-1,2.0,01-01,0,85,19365.0,6881.0,0,0,0,0
保密,-1,6.0,01-01,484,74,33687.0,23.0,0,0,18,0
女,-1,5.0,03-30,113,696,83380.0,1080.0,13,0,24,0
男,-1,5.0,02-20,87,44,187.0,86.0,0,0,0,0
保密,-1,6.0,08-10,387,5443,2622.0,86612.0,0,0,0,0
男,-1,5.0,01-01,14,502,1797103.0,3366.0,0,0,77,0
保密,-1,5.0,06-16,419,3759,4277.0,367.0,1,0,6,1
男,0,6.0,10-17,29,112739,27389162.0,713085.0,1009,0,338,0
保密,-1,3.0,06-20,35,504,2.0,1260.0,1,0,0,0
保密,-1,2.0,01-01,0,6464,120378.0,719.0,0,0,0,0
保密,-1,6.0,01-01,75,3716,3239440.0,20577.0,698,13,2155,0
男,-1,6.0,10-01,93,2176,1381.0,314.0,0,0,0,0
保密,1,6.0,06-25,96,8695,3431041.0,52340.0,33,0,157,1
男,-1,4.0,06-13,45,513,25722.0,1276.0,8,0,4,0
保密,-1,6.0,12-31,1,892,1123164.0,5714.0,7,0,884,1
男,-1,5.0,01-01,103,45,25597.0,52.0,0,0,4,0
